Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change %
2024-07-17 00:00:00-04:00,40862.57031,41221.98047,40849.71094,41198.07813,433450000,0,0,0.594800992
2024-07-18 00:00:00-04:00,41156.55859,41376,40597.5,40665.01953,393450000,0,0,-1.293891895
2024-07-19 00:00:00-04:00,40592.35156,40626.16016,40203.26953,40287.53125,348530000,0,0,-0.928287471
2024-07-22 00:00:00-04:00,40414.48828,40472.53125,40222.76953,40415.44141,351670000,0,0,0.31749316
2024-07-23 00:00:00-04:00,40443.73047,40527.89063,40319.69922,40358.08984,287390000,0,0,-0.141905075
2024-07-24 00:00:00-04:00,40210.62891,40258.44141,39807.44922,39853.87109,394210000,0,0,-1.249362276
2024-07-25 00:00:00-04:00,39828.62891,40438.82031,39817.5,39935.07031,375790000,0,0,0.203742363
2024-07-26 00:00:00-04:00,40140.85938,40753.82813,40140.85938,40589.33984,332070000,0,0,1.63833324
2024-07-29 00:00:00-04:00,40665.71094,40682.48828,40388.82813,40539.92969,272200000,0,0,-0.121731855
2024-07-30 00:00:00-04:00,40622.12891,40866.25,40529.10156,40743.32813,350910000,0,0,0.501723706
2024-07-31 00:00:00-04:00,40768.87891,41198.62891,40655.89063,40842.78906,420090000,0,0,0.244115889
2024-08-01 00:00:00-04:00,40916.96094,41096.66016,40098.57031,40347.96875,472030000,0,0,-1.211524296
2024-08-02 00:00:00-04:00,40075.32813,40075.32813,39358.67969,39737.26172,827820000,0,0,-1.513600437
2024-08-05 00:00:00-04:00,39056.19141,39056.19141,38499.26953,38703.26953,661280000,0,0,-2.602072067
2024-08-06 00:00:00-04:00,38736.21875,39449.53125,38638.30078,38997.66016,462650000,0,0,0.760635028
2024-08-07 00:00:00-04:00,39230.08984,39477.96094,38731.51172,38763.44922,428250000,0,0,-0.600576898
2024-08-08 00:00:00-04:00,38940.37891,39508.39844,38922.78906,39446.48828,376440000,0,0,1.762069878
2024-08-09 00:00:00-04:00,39408.05859,39628.66016,39230.42969,39497.53906,316320000,0,0,0.12941781
2024-08-12 00:00:00-04:00,39556.01172,39587.05859,39251.71875,39357.01172,312380000,0,0,-0.355787594
2024-08-13 00:00:00-04:00,39445.26953,39792.80078,39392.41016,39765.64063,365560000,0,0,1.038262023
2024-08-14 00:00:00-04:00,39800.58984,40068.75,39737.19922,40008.39063,317800000,0,0,0.610451627
2024-08-15 00:00:00-04:00,40295.73828,40590.51172,40295.73828,40563.05859,446850000,0,0,1.386379107
2024-08-16 00:00:00-04:00,40528.85938,40726.03125,40453.57813,40659.76172,323210000,0,0,0.238401956
2024-08-19 00:00:00-04:00,40670.82813,40907.32031,40670.82813,40896.53125,283890000,0,0,0.582319033
2024-08-20 00:00:00-04:00,40874.51953,40909.37891,40756.64844,40834.96875,299380000,0,0,-0.150532327
2024-08-21 00:00:00-04:00,40881.03125,40974.39844,40738.42969,40890.48828,281460000,0,0,0.135960754
2024-08-22 00:00:00-04:00,40932.23047,41026.64063,40584.46875,40712.78125,310470000,0,0,-0.434592588
2024-08-23 00:00:00-04:00,40879.12109,41207.92188,40842.96094,41175.07813,300080000,0,0,1.135507968
2024-08-26 00:00:00-04:00,41200.83984,41420.05078,41140.23047,41240.51953,249300000,0,0,0.158934504
2024-08-27 00:00:00-04:00,41186.28125,41271.75,41109.42188,41250.5,256160000,0,0,0.024200638
2024-08-28 00:00:00-04:00,41250.17188,41351.10938,40842.28906,41091.42188,272170000,0,0,-0.385639265
2024-08-29 00:00:00-04:00,41345.5,41577.96875,41086.80859,41335.05078,309820000,0,0,0.592894807
2024-08-30 00:00:00-04:00,41366.16016,41585.21094,41145.85156,41563.07813,494900000,0,0,0.551656136
2024-09-03 00:00:00-04:00,41489.67188,41489.67188,40778.08984,40936.92969,420530000,0,0,-1.506501601
2024-09-04 00:00:00-04:00,40872.05859,41172.58984,40840.89063,40974.96875,359380000,0,0,0.092921142
2024-09-05 00:00:00-04:00,41056.32813,41084.78125,40519.07813,40755.75,331250000,0,0,-0.535006509
2024-09-06 00:00:00-04:00,40756.80859,41009.39063,40297.32813,40345.41016,370440000,0,0,-1.006826874
2024-09-09 00:00:00-04:00,40555.10938,41000.23828,40518.05859,40829.58984,376720000,0,0,1.20008617
2024-09-10 00:00:00-04:00,40916.5,40916.5,40417.48047,40736.96094,360950000,0,0,-0.2268671
2024-09-11 00:00:00-04:00,40638.76172,40903.67969,39993.07031,40861.71094,356040000,0,0,0.306232957
2024-09-12 00:00:00-04:00,40862.10938,41107.35156,40665.53125,41096.76953,289300000,0,0,0.57525392
